date,open,high,low,close,volume
2020-09-18,4.9638,8.7640,4.6600,6.8914,135791137
2020-09-19,6.8918,7.5227,5.2368,5.7311,106389752
2020-09-20,5.7321,6.0900,4.6272,5.2313,90765939
2020-09-21,5.2310,5.6758,4.0700,4.2532,110039120
2020-09-22,4.2637,4.5600,3.7029,3.9101,98557117
2020-09-23,3.9120,5.3343,3.9010,4.3829,141742645
2020-09-24,4.3830,5.3000,4.2517,5.1553,95798055
2020-09-25,5.1503,5.5608,4.7300,4.9089,64952833
2020-09-26,4.9090,4.9990,4.6806,4.8730,38207202
2020-09-27,4.8701,5.2183,4.6807,4.8502,31796723
2020-09-28,4.8520,4.9600,4.1758,4.2560,32567949
2020-09-29,4.2544,4.4189,4.1229,4.3884,26454732
2020-09-30,4.3883,4.3885,3.9511,4.1604,23432442
2020-10-01,4.1628,4.5185,3.9225,4.2392,39670118
2020-10-02,4.2429,4.2429,3.5602,3.8940,33521844
2020-10-03,3.8922,4.1217,3.8310,3.9012,18960474
2020-10-04,3.9035,3.9480,3.6054,3.7255,23181609
2020-10-05,3.7225,3.7958,3.1800,3.3233,35146506
2020-10-06,3.3234,3.3424,2.6211,2.7109,63109461
2020-10-07,2.7093,2.9950,2.4560,2.9558,74719910
2020-10-08,2.9580,3.4623,2.6352,3.3501,76651161
2020-10-09,3.3495,3.6013,3.1750,3.3806,46834530
2020-10-10,3.3819,3.6607,3.2643,3.2959,33319109
2020-10-11,3.2956,3.4521,3.1813,3.3624,26061619
2020-10-12,3.3612,3.6016,3.2810,3.4572,28191393
2020-10-13,3.4567,3.5013,3.2930,3.3540,17837574
2020-10-14,3.3536,3.4368,2.9706,3.1090,29895556
2020-10-15,3.1090,3.1669,2.9112,3.0771,28135432
2020-10-16,3.0764,3.3647,2.8740,3.0404,40724194
2020-10-17,3.0414,3.1190,2.9718,3.0530,16255664
2020-10-18,3.0524,3.2834,3.0415,3.2732,15958642
2020-10-19,3.2713,3.2800,3.1100,3.1687,14705745
2020-10-20,3.1687,3.1890,2.8117,2.8587,22572765
2020-10-21,2.8581,3.0936,2.8397,2.9385,25361712
2020-10-22,2.9381,3.1517,2.9201,3.0444,15270134
2020-10-23,3.0442,3.1259,2.9638,3.0184,14220095
2020-10-24,3.0183,3.0898,2.9290,2.9447,10001147
2020-10-25,2.9440,2.9700,2.7110,2.7769,13081956
2020-10-26,2.7757,2.8800,2.5200,2.7138,21905173
2020-10-27,2.7121,2.9156,2.7008,2.8097,20107012
2020-10-28,2.8097,2.8592,2.5970,2.6631,16661196
2020-10-29,2.6629,2.7417,2.4860,2.5390,15691060
2020-10-30,2.5385,2.5655,2.2310,2.4133,30396942
2020-10-31,2.4125,2.4125,2.2401,2.2658,14902671
2020-11-01,2.2652,2.4544,2.2180,2.3788,16735725
2020-11-02,2.3791,2.4542,2.2223,2.2528,19202218
2020-11-03,2.2522,2.2812,2.0540,2.1370,23343211
2020-11-04,2.1356,2.1651,1.8739,1.9279,28858707
2020-11-05,1.9282,2.4213,1.7564,2.1902,81343041
2020-11-06,2.1894,2.6890,2.1717,2.5706,75683379
2020-11-07,2.5706,3.0350,2.4212,2.4773,75658724
2020-11-08,2.4765,2.9259,2.4350,2.8675,32849585
2020-11-09,2.8658,2.8812,2.5723,2.6795,29488384
2020-11-10,2.6795,3.1800,2.6268,3.0804,45785816
2020-11-11,3.0800,3.2198,2.8800,2.9321,33268364
2020-11-12,2.9311,3.1388,2.8328,2.9573,29454688
2020-11-13,2.9569,3.9830,2.9340,3.8462,61007642
2020-11-14,3.8447,3.9660,3.5100,3.8132,64663803
2020-11-15,3.8133,4.2381,3.6134,3.8482,57815801
2020-11-16,3.8489,3.9447,3.4501,3.5688,50460597
2020-11-17,3.5689,3.8914,3.4772,3.8191,50585921
2020-11-18,3.8187,3.8610,3.2694,3.4632,41843276
2020-11-19,3.4632,3.8951,3.2300,3.7466,47998474
2020-11-20,3.7463,4.1000,3.6833,3.8611,47940349
2020-11-21,3.8607,3.9490,3.5900,3.8467,39021035
2020-11-22,3.8484,3.9800,3.4051,3.6853,39893328
2020-11-23,3.6833,4.2532,3.6334,4.1945,46280359
2020-11-24,4.1938,4.5059,3.9445,4.0747,50668042
2020-11-25,4.0758,4.2142,3.5324,3.6800,31032266
2020-11-26,3.6790,3.7755,3.0968,3.4341,44630460
2020-11-27,3.4349,3.5399,3.1620,3.3073,26431511
2020-11-28,3.3073,3.5320,3.2556,3.4611,17959426
2020-11-29,3.4604,3.5736,3.3605,3.5519,15600709
2020-11-30,3.5529,3.8160,3.5328,3.7792,19573843
2020-12-01,3.7784,3.9930,3.4027,3.5502,27272994
2020-12-02,3.5484,4.1751,3.4974,3.9477,24334802
2020-12-03,3.9461,4.0273,3.8000,3.8855,15801614
2020-12-04,3.8840,3.9250,3.5000,3.5203,12625343
2020-12-05,3.5201,3.7000,3.4420,3.6836,10777771
2020-12-06,3.6829,3.7947,3.5109,3.6519,10293863
2020-12-07,3.6515,3.8840,3.5652,3.7610,15938460
2020-12-08,3.7612,3.7698,3.2800,3.3013,17147736
2020-12-09,3.3010,3.3955,3.1175,3.3524,13473824
2020-12-10,3.3522,3.3733,3.1911,3.2420,8221638
2020-12-11,3.2428,3.2506,2.9100,2.9616,14032377
2020-12-12,2.9633,3.1772,2.9607,3.1245,10624001
2020-12-13,3.1239,3.3644,3.0726,3.3406,9609388
2020-12-14,3.3405,3.5453,3.2386,3.4801,11355957
2020-12-15,3.4800,3.5196,3.3108,3.3307,10956266
2020-12-16,3.3307,3.5489,3.2438,3.5407,14076280
2020-12-17,3.5407,4.0077,3.4354,3.6970,32013622
2020-12-18,3.6970,3.8642,3.5510,3.7705,20150042
2020-12-19,3.7705,4.2500,3.7083,3.9650,32908180
2020-12-20,3.9652,4.0333,3.7070,3.7667,18983331
2020-12-21,3.7659,3.9289,3.4233,3.5166,18099579
2020-12-22,3.5148,3.7797,3.2845,3.7363,18382675
2020-12-23,3.7356,3.7827,3.0074,3.3176,18921934
2020-12-24,3.3199,3.5299,3.1619,3.5256,15534991
2020-12-25,3.5267,3.6560,3.3749,3.5062,13074180
2020-12-26,3.5071,3.6070,3.3614,3.4200,11125637
2020-12-27,3.4208,3.8116,3.3543,3.6035,19242073
2020-12-28,3.6033,3.9497,3.5723,3.7336,15106832
2020-12-29,3.7324,3.8489,3.5025,3.6756,14215500
2020-12-30,3.6758,4.3875,3.6310,4.1540,27158906
2020-12-31,4.1536,5.2965,3.9376,5.1550,49755923
2021-01-01,5.1549,5.2740,4.6101,4.7407,29105613
2021-01-02,4.7421,5.1893,4.4863,4.8617,35488699
2021-01-03,4.8622,5.6600,4.6801,5.5249,36592873
2021-01-04,5.5274,6.2476,4.8690,5.4320,33980328
2021-01-05,5.4280,6.5740,5.2069,6.2595,25969840
2021-01-06,6.2623,6.6141,6.0177,6.4222,16608773
2021-01-07,6.4277,6.8467,6.0201,6.2790,18124590
2021-01-08,6.2800,6.3898,5.4696,5.8836,20084660
2021-01-09,5.8878,6.3781,5.6717,6.2393,14062984
2021-01-10,6.2393,6.5964,5.5538,5.9900,16462464
2021-01-11,5.9900,6.0120,4.4000,5.2402,24717068
2021-01-12,5.2437,5.8285,4.9680,5.5912,15762738
2021-01-13,5.5947,6.3927,5.2674,6.3426,14560477
2021-01-14,6.3449,7.1419,6.1838,6.9730,19411112
2021-01-15,6.9724,7.5063,6.4028,7.3762,24883843
2021-01-16,7.3778,9.4390,7.2043,8.4052,23384978
2021-01-17,8.4102,9.2000,8.0784,8.6869,18588603
2021-01-18,8.6943,9.8911,8.3140,9.2063,17151328
2021-01-19,9.2103,9.7299,8.4857,8.5996,14292342
2021-01-20,8.5982,9.0585,7.6578,8.9880,17747235
2021-01-21,8.9819,9.0506,7.3256,7.5995,18506554
2021-01-22,7.5937,9.0365,7.0329,8.6951,19080993
2021-01-23,8.7005,9.5500,8.5022,9.3467,10217601
2021-01-24,9.3505,12.3198,9.1673,12.0512,23259406
2021-01-25,12.0512,12.9089,10.8888,11.3156,22783749
2021-01-26,11.3138,14.2691,11.1621,13.9081,37523107
2021-01-27,13.9081,15.4950,13.0081,14.7215,36607314
2021-01-28,14.7392,15.3845,13.5165,14.1217,25933626
2021-01-29,14.1218,15.8281,14.0657,15.6636,21552285
2021-01-30,15.6680,19.6752,15.1132,19.5551,23622329
2021-01-31,19.5762,20.5829,17.4000,17.7516,25770572
2021-02-01,17.7441,20.8307,16.7113,20.5017,20187545
2021-02-02,20.5020,20.6525,18.1310,19.0051,15648851
2021-02-03,19.0051,20.6360,18.7406,19.7753,14849303
2021-02-04,19.7685,21.6916,19.0280,20.1483,19089079
2021-02-05,20.1617,22.6875,19.5784,21.1991,16634494
2021-02-06,21.2027,21.7693,19.2370,19.2986,15646215
2021-02-07,19.3031,19.7243,17.1000,18.6843,14918094
2021-02-08,18.6880,20.2672,18.1461,19.3793,14557394
2021-02-09,19.3758,20.0282,18.9628,19.5536,11758949
2021-02-10,19.5527,22.5000,19.3000,20.7165,18827664
2021-02-11,20.7054,22.1000,20.1276,21.5345,12028213
2021-02-12,21.5283,24.0607,21.3087,22.7000,16267538
2021-02-13,22.7001,23.7203,21.2515,21.8543,13577988
2021-02-14,21.8647,22.6854,20.7022,20.8630,10246981
2021-02-15,20.8681,21.5872,16.7095,20.1047,18409313
2021-02-16,20.1012,21.3683,19.3868,20.4965,10116085
2021-02-17,20.4889,21.9506,19.1528,21.5581,10273812
2021-02-18,21.5540,22.3486,20.6195,21.1869,9691032
